"Year","Units","Grado urbanización","Municipio","Nacionalidad","GeoCode","Value"
2020,"Indicador 1","Ciudades","Ogíjares","América del Sur","A18145",1.18
2020,"Indicador 1","Zona rural","Orce","América del Sur","A18146",1.1
2020,"Indicador 1","Zona rural","Órgiva","América del Sur","A18147",0.52
2020,"Indicador 1","Zona rural","Otívar","América del Sur","A18148",1.29
2020,"Indicador 1","Zona de densidad intermedia","Villa de Otura","América del Sur","A18149",0.74
2020,"Indicador 1","Zona de densidad intermedia","Padul","América del Sur","A18150",0.66
2020,"Indicador 1","Zona rural","Pampaneira","América del Sur","A18151",0
2020,"Indicador 1","Zona rural","Pedro Martínez","América del Sur","A18152",0.09
2020,"Indicador 1","Zona de densidad intermedia","Peligros","América del Sur","A18153",0.65
2020,"Indicador 1","Zona rural","Peza, La","América del Sur","A18154",0.09
2020,"Indicador 1","Zona rural","Pinos Genil","América del Sur","A18157",1.01
2020,"Indicador 1","Zona de densidad intermedia","Pinos Puente","América del Sur","A18158",0.46
2020,"Indicador 1","Zona rural","Píñar","América del Sur","A18159",0
2020,"Indicador 1","Zona rural","Polícar","América del Sur","A18161",0
2020,"Indicador 1","Zona rural","Polopos","América del Sur","A18162",0.41
2020,"Indicador 1","Zona rural","Pórtugos","América del Sur","A18163",0
2020,"Indicador 1","Zona rural","Puebla de Don Fadrique","América del Sur","A18164",1.16
2020,"Indicador 1","Ciudades","Pulianas","América del Sur","A18165",0.49
2020,"Indicador 1","Zona rural","Purullena","América del Sur","A18167",0.13
2020,"Indicador 1","Zona rural","Quéntar","América del Sur","A18168",2.01
2020,"Indicador 1","Zona rural","Rubite","América del Sur","A18170",1.05
2020,"Indicador 1","Zona rural","Salar","América del Sur","A18171",0.53
2020,"Indicador 1","Zona de densidad intermedia","Salobreña","América del Sur","A18173",0.5
2020,"Indicador 1","Zona rural","Santa Cruz del Comercio","América del Sur","A18174",0.56
2020,"Indicador 1","Zona de densidad intermedia","Santa Fe","América del Sur","A18175",1.24
2020,"Indicador 1","Zona rural","Soportújar","América del Sur","A18176",0.76
2020,"Indicador 1","Zona rural","Sorvilán","América del Sur","A18177",1.9
2020,"Indicador 1","Zona rural","Torre-Cardela","América del Sur","A18178",0
2020,"Indicador 1","Zona rural","Torvizcón","América del Sur","A18179",0
2020,"Indicador 1","Zona rural","Trevélez","América del Sur","A18180",0.41
2020,"Indicador 1","Zona rural","Turón","América del Sur","A18181",0.43
2020,"Indicador 1","Zona rural","Ugíjar","América del Sur","A18182",0.52
2020,"Indicador 1","Zona rural","Válor","América del Sur","A18183",0.59
2020,"Indicador 1","Zona rural","Vélez de Benaudalla","América del Sur","A18184",0.28
2020,"Indicador 1","Zona rural","Ventas de Huelma","América del Sur","A18185",2.13
2020,"Indicador 1","Zona rural","Villanueva de las Torres","América del Sur","A18187",0
2020,"Indicador 1","Zona rural","Villanueva Mesía","América del Sur","A18188",0.74
2020,"Indicador 1","Zona de densidad intermedia","Víznar","América del Sur","A18189",1.11
2020,"Indicador 1","Zona rural","Zafarraya","América del Sur","A18192",0.09
2020,"Indicador 1","Ciudades","Zubia, La","América del Sur","A18193",1.08
2020,"Indicador 1","Zona rural","Zújar","América del Sur","A18194",0.43
2020,"Indicador 1","Zona rural","Taha, La","América del Sur","A18901",1.94
2020,"Indicador 1","Zona rural","Valle, El","América del Sur","A18902",0.11
2020,"Indicador 1","Zona rural","Nevada","América del Sur","A18903",0.56
2020,"Indicador 1","Zona rural","Alpujarra de la Sierra","América del Sur","A18904",0.21
